Indicator,Fraction 25-29 dB,Fraction 30 – 34 dB,Fraction 35 –39 dB,Fraction 40 – 44 dB,Fraction 45 – 49 dB,Fraction 50 - 54 dB
Lden,0.0014259,0.0041742,0.0168865,0.0682108,0.2771679,0.6321346
Lnight,0.008524,0.031641,0.147617,0.36933,0.442888,NA
