"data_source";"noise_source";"metric";"bevoelkerung_different sources";"bevoelkerung_major sources";"exponierteGesamt_different sources";"exponierteGesamt_major sources";"AnzKartierteGemeinden_different sources";"AnzKartierteGemeinden_major sources";"bundesland_name"
"EEA";"rail";"lden";"503339";"503339";"58600";"41600";"3";"3";"Rheinland-Pfalz"
"EEA";"rail";"lnight";"503339";"503339";"44100";"35300";"3";"3";"Rheinland-Pfalz"
"EEA";"industry";"lden";"503339";NA;"1700";NA;"3";NA;"Rheinland-Pfalz"
"EEA";"industry";"lnight";"503339";NA;"800";NA;"3";NA;"Rheinland-Pfalz"
"EEA";"road";"lden";"2130248";"2130248";"732400";"374200";"9";"9";"Baden-Württemberg"
"EEA";"road";"lnight";"2130248";"2130248";"485500";"234400";"9";"9";"Baden-Württemberg"
"EEA";"air";"lden";"2130248";"2130248";"0";"0";"9";"9";"Baden-Württemberg"
"EEA";"air";"lnight";"2130248";"2130248";"0";"0";"9";"9";"Baden-Württemberg"
"EEA";"rail";"lden";"2130248";"2130248";"250300";"82700";"9";"9";"Baden-Württemberg"
"EEA";"rail";"lnight";"2130248";"2130248";"178700";"62800";"9";"9";"Baden-Württemberg"
"EEA";"industry";"lden";"2130248";NA;"15100";NA;"9";NA;"Baden-Württemberg"
"EEA";"industry";"lnight";"2130248";NA;"2300";NA;"9";NA;"Baden-Württemberg"
"EEA";"road";"lden";"2955723";"2955723";"1137300";"950500";"8";"8";"Freistaat Bayern"
"EEA";"road";"lnight";"2955723";"2955723";"786200";"660700";"8";"8";"Freistaat Bayern"
"EEA";"air";"lden";"2955723";"2955723";"3900";"0";"8";"8";"Freistaat Bayern"
"EEA";"air";"lnight";"2955723";"2955723";"1000";"0";"8";"8";"Freistaat Bayern"
"EEA";"rail";"lden";"2955723";"2955723";"305900";"160600";"8";"8";"Freistaat Bayern"
"EEA";"rail";"lnight";"2955723";"2955723";"231900";"124800";"8";"8";"Freistaat Bayern"
"EEA";"industry";"lden";"2955723";NA;"2300";NA;"8";NA;"Freistaat Bayern"
"EEA";"industry";"lnight";"2955723";NA;"600";NA;"8";NA;"Freistaat Bayern"
