"Threshold";"year_end";"country";"geo";"noise_source";"mapping_extend";"agglomeration";"location";"inhabitants_lden_gf";"inhabitants_lnight_gf";"x_s_annoy_18";"x_h_sleepd";"x_all_nat_mort";"x_CVD";"x_diabetes";"s_annoy_yld_0011";"h_sleepd_yld_0010";"x_CVD_yld";"x_diab_yld";"x_mort_yll";"location_or_all";"name_stadt_gemeinde"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Muenster";"15000";"11700";"2303";"1092";"9";"7";"3";"25";"11";"5";"5";"142";"location specific";"Münster"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Munich";"157600";"117900";"25633";"11501";"97";"78";"29";"282";"115";"51";"50";"1551";"location specific";"München"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Neuss";"12100";"8900";"1890";"827";"7";"6";"2";"21";"8";"4";"4";"113";"location specific";"Neuss"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Nuremberg";"64100";"48900";"9911";"4386";"38";"31";"12";"109";"44";"20";"20";"613";"location specific";"Nürnberg"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Oberhausen";"17600";"12800";"2572";"1146";"10";"8";"3";"28";"11";"5";"5";"159";"location specific";"Oberhausen"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Offenbach on the Main";"9900";"7500";"1651";"770";"6";"5";"2";"18";"8";"3";"3";"100";"location specific";"Offenbach am Main"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Oldenburg";"3700";"2600";"511";"194";"2";"2";"1";"6";"2";"1";"1";"32";"location specific";"Oldenburg (Oldenburg)"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Osnabrueck";"8600";"6500";"1219";"549";"5";"4";"1";"13";"5";"2";"2";"75";"location specific";"Osnabrück"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Pforzheim";"3800";"2800";"594";"274";"2";"2";"1";"7";"3";"1";"1";"36";"location specific";"Pforzheim"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Potsdam";"23500";"15000";"3658";"1373";"14";"11";"4";"40";"14";"7";"7";"226";"location specific";"Potsdam"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Recklinghausen";"4900";"4000";"718";"363";"3";"2";"1";"8";"4";"1";"1";"44";"location specific";"Recklinghausen"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Regensburg";"7000";"5500";"1023";"491";"4";"3";"1";"11";"5";"2";"2";"63";"location specific";"Regensburg"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Remscheid";"500";"100";"64";"7";"0";"0";"0";"1";"0";"0";"0";"4";"location specific";"Remscheid"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Reutlingen";"1100";"500";"145";"37";"1";"0";"0";"2";"0";"0";"0";"9";"location specific";"Reutlingen"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Rostock";"25500";"19800";"3660";"1556";"14";"11";"4";"40";"16";"8";"7";"228";"location specific";"Rostock"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Saarbruecken";"17100";"13800";"2906";"1406";"11";"9";"3";"32";"14";"6";"6";"174";"location specific";"Saarbrücken"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Solingen";"3900";"2800";"598";"254";"2";"2";"1";"7";"3";"1";"1";"37";"location specific";"Solingen"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Stuttgart";"67600";"48200";"10947";"4550";"42";"34";"13";"120";"45";"22";"21";"669";"location specific";"Stuttgart"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Ulm";"10800";"8500";"1817";"811";"7";"6";"2";"20";"8";"4";"4";"112";"location specific";"Ulm"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Wiesbaden";"10100";"8600";"1592";"841";"6";"5";"2";"18";"8";"3";"3";"97";"location specific";"Wiesbaden"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Wuerzburg";"22100";"17100";"3934";"1980";"14";"12";"4";"43";"20";"8";"7";"231";"location specific";"Würzburg"
"END";"2022";"Germany";"DE";"rail";"different sources";"inside agglomerations";"Wuppertal";"16300";"10600";"2675";"1068";"10";"8";"3";"29";"11";"5";"5";"162";"location specific";"Wuppertal"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Aachen";"3600";"1100";"422";"67";"2";"1";"0";"5";"1";"1";"1";"25";"location specific";"Aachen"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Augsburg";"200";"0";"18";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Augsburg"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Bergisch Gladbach";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Bergisch Gladbach"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Berlin";"700";"0";"66";"0";"0";"0";"0";"1";"0";"0";"0";"4";"location specific";"Berlin"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Bielefeld";"100";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Bielefeld"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Bochum";"700";"0";"66";"0";"0";"0";"0";"1";"0";"0";"0";"4";"location specific";"Bochum"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Bonn";"400";"200";"40";"11";"0";"0";"0";"0";"0";"0";"0";"3";"location specific";"Bonn"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Bottrop";"100";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Bottrop"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Bremen";"12500";"9900";"1463";"641";"5";"4";"2";"16";"6";"3";"3";"83";"location specific";"Bremen"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Bremerhaven";"1500";"200";"164";"11";"1";"0";"0";"2";"0";"0";"0";"10";"location specific";"Bremerhaven"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Brunswick";"12300";"200";"1269";"11";"5";"4";"2";"14";"0";"3";"3";"80";"location specific";"Braunschweig"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Cologne";"1300";"0";"122";"0";"0";"0";"0";"1";"0";"0";"0";"8";"location specific";"Köln"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Darmstadt";"3500";"3000";"569";"265";"2";"1";"1";"6";"3";"1";"1";"28";"location specific";"Darmstadt"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Dortmund";"100";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Dortmund"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Duesseldorf";"600";"0";"53";"0";"0";"0";"0";"1";"0";"0";"0";"4";"location specific";"Düsseldorf"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Duisburg";"12300";"4400";"1203";"269";"5";"4";"1";"13";"3";"3";"2";"78";"location specific";"Duisburg"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Erlangen";"100";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Erlangen"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Essen";"100";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Essen"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Frankfurt on the Main";"1000";"300";"119";"22";"0";"0";"0";"1";"0";"0";"0";"7";"location specific";"Frankfurt am Main"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Freiburg";"1800";"400";"184";"24";"1";"1";"0";"2";"0";"0";"0";"11";"location specific";"Freiburg im Breisgau"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Fuerth";"200";"0";"18";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Fürth"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Gelsenkirchen";"100";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Gelsenkirchen"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Goettingen";"600";"0";"62";"0";"0";"0";"0";"1";"0";"0";"0";"4";"location specific";"Göttingen"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Halle";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Halle (Saale)"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Hamburg";"6000";"3700";"587";"206";"2";"2";"1";"6";"2";"1";"1";"37";"location specific";"Hamburg"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Hanau";"1200";"900";"130";"53";"0";"0";"0";"1";"1";"0";"0";"8";"location specific";"Hanau"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Hanover";"1900";"900";"207";"64";"1";"1";"0";"2";"1";"0";"0";"13";"location specific";"Hannover"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Heilbronn";"1500";"1200";"173";"78";"1";"1";"0";"2";"1";"0";"0";"10";"location specific";"Heilbronn"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Herne";"2500";"0";"246";"0";"1";"1";"0";"3";"0";"1";"1";"16";"location specific";"Herne"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Hildesheim";"1100";"300";"116";"19";"0";"0";"0";"1";"0";"0";"0";"7";"location specific";"Hildesheim"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Ingolstadt";"600";"500";"76";"35";"0";"0";"0";"1";"0";"0";"0";"4";"location specific";"Ingolstadt"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Karlsruhe";"1600";"0";"144";"0";"1";"0";"0";"2";"0";"0";"0";"10";"location specific";"Karlsruhe"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Kassel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Kassel"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Kiel";"1000";"600";"108";"43";"0";"0";"0";"1";"0";"0";"0";"7";"location specific";"Kiel"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Koblenz";"200";"0";"18";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Koblenz"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Krefeld";"1100";"600";"101";"35";"0";"0";"0";"1";"0";"0";"0";"7";"location specific";"Krefeld"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Leipzig";"300";"0";"26";"0";"0";"0";"0";"0";"0";"0";"0";"2";"location specific";"Leipzig"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Leverkusen";"300";"0";"26";"0";"0";"0";"0";"0";"0";"0";"0";"2";"location specific";"Leverkusen"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Ludwigshafen";"600";"400";"57";"24";"0";"0";"0";"1";"0";"0";"0";"4";"location specific";"Ludwigshafen am Rhein"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Luebeck";"1600";"500";"170";"32";"1";"1";"0";"2";"0";"0";"0";"11";"location specific";"Lübeck"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Mainz";"900";"400";"88";"24";"0";"0";"0";"1";"0";"0";"0";"6";"location specific";"Mainz"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Mannheim";"9400";"200";"946";"11";"4";"3";"1";"10";"0";"2";"2";"61";"location specific";"Mannheim"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Moenchengladbach";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Mönchengladbach"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Moers";"100";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Moers"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Muelheim on the Ruhr";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Mülheim an der Ruhr"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Muenster";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Münster"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Munich";"500";"0";"44";"0";"0";"0";"0";"0";"0";"0";"0";"3";"location specific";"München"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Neuss";"1800";"800";"240";"57";"1";"1";"0";"3";"1";"0";"0";"13";"location specific";"Neuss"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Nuremberg";"200";"0";"18";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Nürnberg"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Oberhausen";"500";"0";"44";"0";"0";"0";"0";"0";"0";"0";"0";"3";"location specific";"Oberhausen"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Offenbach on the Main";"100";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Offenbach am Main"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Oldenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Oldenburg (Oldenburg)"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Osnabrueck";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Osnabrück"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Pforzheim";"100";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Pforzheim"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Potsdam";"400";"0";"35";"0";"0";"0";"0";"0";"0";"0";"0";"2";"location specific";"Potsdam"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Recklinghausen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Recklinghausen"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Regensburg";"500";"100";"48";"5";"0";"0";"0";"1";"0";"0";"0";"3";"location specific";"Regensburg"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Remscheid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Remscheid"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Reutlingen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Reutlingen"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Rostock";"300";"200";"26";"11";"0";"0";"0";"0";"0";"0";"0";"2";"location specific";"Rostock"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Saarbruecken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Saarbrücken"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Stuttgart";"600";"100";"57";"5";"0";"0";"0";"1";"0";"0";"0";"4";"location specific";"Stuttgart"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Ulm";"100";"400";"9";"24";"0";"0";"0";"0";"0";"0";"0";"1";"location specific";"Ulm"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Wiesbaden";"700";"600";"71";"37";"0";"0";"0";"1";"0";"0";"0";"5";"location specific";"Wiesbaden"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Wuerzburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Würzburg"
"END";"2022";"Germany";"DE";"industry";"different sources";"inside agglomerations";"Wuppertal";"600";"0";"57";"0";"0";"0";"0";"1";"0";"0";"0";"4";"location specific";"Wuppertal"
