"gemeinde_kennziffer";"l_untergrenze";"l_zentral";"metrik";"exponierte";"quelle";"kartierungsumfang";"datenquelle"
"06431003";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431004";"55";"57";"lden";"124";"Straße";"major";"Bundesland"
"06431004";"60";"62";"lden";"43";"Straße";"major";"Bundesland"
"06431004";"65";"67";"lden";"51";"Straße";"major";"Bundesland"
"06431004";"70";"72";"lden";"101";"Straße";"major";"Bundesland"
"06431004";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431004";"50";"52";"lnight";"59";"Straße";"major";"Bundesland"
"06431004";"55";"57";"lnight";"50";"Straße";"major";"Bundesland"
"06431004";"60";"62";"lnight";"104";"Straße";"major";"Bundesland"
"06431004";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06431004";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431005";"55";"57";"lden";"940";"Straße";"major";"Bundesland"
"06431005";"60";"62";"lden";"490";"Straße";"major";"Bundesland"
"06431005";"65";"67";"lden";"220";"Straße";"major";"Bundesland"
"06431005";"70";"72";"lden";"97";"Straße";"major";"Bundesland"
"06431005";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431005";"50";"52";"lnight";"639";"Straße";"major";"Bundesland"
"06431005";"55";"57";"lnight";"245";"Straße";"major";"Bundesland"
"06431005";"60";"62";"lnight";"146";"Straße";"major";"Bundesland"
"06431005";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06431005";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431006";"55";"57";"lden";"1178";"Straße";"major";"Bundesland"
"06431006";"60";"62";"lden";"379";"Straße";"major";"Bundesland"
"06431006";"65";"67";"lden";"118";"Straße";"major";"Bundesland"
"06431006";"70";"72";"lden";"18";"Straße";"major";"Bundesland"
"06431006";"75";"77";"lden";"2";"Straße";"major";"Bundesland"
"06431006";"50";"52";"lnight";"756";"Straße";"major";"Bundesland"
"06431006";"55";"57";"lnight";"234";"Straße";"major";"Bundesland"
"06431006";"60";"62";"lnight";"43";"Straße";"major";"Bundesland"
"06431006";"65";"67";"lnight";"3";"Straße";"major";"Bundesland"
"06431006";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431007";"55";"57";"lden";"441";"Straße";"major";"Bundesland"
"06431007";"60";"62";"lden";"207";"Straße";"major";"Bundesland"
"06431007";"65";"67";"lden";"179";"Straße";"major";"Bundesland"
"06431007";"70";"72";"lden";"201";"Straße";"major";"Bundesland"
"06431007";"75";"77";"lden";"43";"Straße";"major";"Bundesland"
"06431007";"50";"52";"lnight";"236";"Straße";"major";"Bundesland"
"06431007";"55";"57";"lnight";"183";"Straße";"major";"Bundesland"
"06431007";"60";"62";"lnight";"190";"Straße";"major";"Bundesland"
"06431007";"65";"67";"lnight";"88";"Straße";"major";"Bundesland"
"06431007";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431008";"55";"57";"lden";"0";"Straße";"major";"Bundesland"
"06431008";"60";"62";"lden";"0";"Straße";"major";"Bundesland"
"06431008";"65";"67";"lden";"0";"Straße";"major";"Bundesland"
"06431008";"70";"72";"lden";"0";"Straße";"major";"Bundesland"
"06431008";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431008";"50";"52";"lnight";"0";"Straße";"major";"Bundesland"
"06431008";"55";"57";"lnight";"0";"Straße";"major";"Bundesland"
"06431008";"60";"62";"lnight";"0";"Straße";"major";"Bundesland"
"06431008";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06431008";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431009";"55";"57";"lden";"0";"Straße";"major";"Bundesland"
"06431009";"60";"62";"lden";"0";"Straße";"major";"Bundesland"
"06431009";"65";"67";"lden";"0";"Straße";"major";"Bundesland"
"06431009";"70";"72";"lden";"0";"Straße";"major";"Bundesland"
"06431009";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431009";"50";"52";"lnight";"0";"Straße";"major";"Bundesland"
"06431009";"55";"57";"lnight";"0";"Straße";"major";"Bundesland"
"06431009";"60";"62";"lnight";"0";"Straße";"major";"Bundesland"
"06431009";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06431009";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431010";"55";"57";"lden";"67";"Straße";"major";"Bundesland"
"06431010";"60";"62";"lden";"0";"Straße";"major";"Bundesland"
"06431010";"65";"67";"lden";"0";"Straße";"major";"Bundesland"
"06431010";"70";"72";"lden";"0";"Straße";"major";"Bundesland"
"06431010";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431010";"50";"52";"lnight";"2";"Straße";"major";"Bundesland"
"06431010";"55";"57";"lnight";"0";"Straße";"major";"Bundesland"
"06431010";"60";"62";"lnight";"0";"Straße";"major";"Bundesland"
"06431010";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06431010";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431011";"55";"57";"lden";"2643";"Straße";"major";"Bundesland"
"06431011";"60";"62";"lden";"1626";"Straße";"major";"Bundesland"
"06431011";"65";"67";"lden";"1207";"Straße";"major";"Bundesland"
"06431011";"70";"72";"lden";"835";"Straße";"major";"Bundesland"
"06431011";"75";"77";"lden";"151";"Straße";"major";"Bundesland"
"06431011";"50";"52";"lnight";"2163";"Straße";"major";"Bundesland"
"06431011";"55";"57";"lnight";"1261";"Straße";"major";"Bundesland"
"06431011";"60";"62";"lnight";"956";"Straße";"major";"Bundesland"
"06431011";"65";"67";"lnight";"238";"Straße";"major";"Bundesland"
"06431011";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431012";"55";"57";"lden";"0";"Straße";"major";"Bundesland"
"06431012";"60";"62";"lden";"0";"Straße";"major";"Bundesland"
"06431012";"65";"67";"lden";"0";"Straße";"major";"Bundesland"
"06431012";"70";"72";"lden";"0";"Straße";"major";"Bundesland"
"06431012";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431012";"50";"52";"lnight";"0";"Straße";"major";"Bundesland"
"06431012";"55";"57";"lnight";"0";"Straße";"major";"Bundesland"
"06431012";"60";"62";"lnight";"0";"Straße";"major";"Bundesland"
"06431012";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06431012";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431013";"55";"57";"lden";"1017";"Straße";"major";"Bundesland"
"06431013";"60";"62";"lden";"553";"Straße";"major";"Bundesland"
"06431013";"65";"67";"lden";"618";"Straße";"major";"Bundesland"
"06431013";"70";"72";"lden";"393";"Straße";"major";"Bundesland"
"06431013";"75";"77";"lden";"14";"Straße";"major";"Bundesland"
"06431013";"50";"52";"lnight";"681";"Straße";"major";"Bundesland"
"06431013";"55";"57";"lnight";"598";"Straße";"major";"Bundesland"
"06431013";"60";"62";"lnight";"478";"Straße";"major";"Bundesland"
"06431013";"65";"67";"lnight";"45";"Straße";"major";"Bundesland"
"06431013";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431014";"55";"57";"lden";"184";"Straße";"major";"Bundesland"
"06431014";"60";"62";"lden";"166";"Straße";"major";"Bundesland"
"06431014";"65";"67";"lden";"208";"Straße";"major";"Bundesland"
"06431014";"70";"72";"lden";"177";"Straße";"major";"Bundesland"
"06431014";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431014";"50";"52";"lnight";"171";"Straße";"major";"Bundesland"
"06431014";"55";"57";"lnight";"187";"Straße";"major";"Bundesland"
"06431014";"60";"62";"lnight";"227";"Straße";"major";"Bundesland"
"06431014";"65";"67";"lnight";"4";"Straße";"major";"Bundesland"
"06431014";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431015";"55";"57";"lden";"0";"Straße";"major";"Bundesland"
"06431015";"60";"62";"lden";"0";"Straße";"major";"Bundesland"
"06431015";"65";"67";"lden";"0";"Straße";"major";"Bundesland"
"06431015";"70";"72";"lden";"0";"Straße";"major";"Bundesland"
"06431015";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431015";"50";"52";"lnight";"0";"Straße";"major";"Bundesland"
"06431015";"55";"57";"lnight";"0";"Straße";"major";"Bundesland"
"06431015";"60";"62";"lnight";"0";"Straße";"major";"Bundesland"
"06431015";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
